district,year,month,monthly_rain_sum,monthly_rain_mean
ahmadabad,2024,9,203.6,6.786666666666666
ahmadabad,2024,10,86.1,2.7774193548387096
ahmadabad,2024,11,0.0,0.0
ahmadabad,2024,12,0.0,0.0
ahmadabad,2025,1,0.0,0.0
ahmadabad,2025,2,0.0,0.0
ahmadabad,2025,3,0.0,0.0
ahmadabad,2025,4,0.0,0.0
ahmadabad,2025,5,26.7,0.8612903225806451
ahmadabad,2025,6,131.5,4.383333333333334
ahmadabad,2025,7,241.1,7.77741935483871
ahmadabad,2025,8,199.5,6.435483870967742
ahmadabad,2025,9,132.6,4.42
ahmadabad,2025,10,129.4,4.174193548387097
ahmadabad,2025,11,7.5,0.25
ahmadabad,2025,12,0.0,0.0
ahmadabad,2026,1,0.4,0.0133333333333333
amreli,2003,1,0.0,0.0
amreli,2003,2,3.2,0.1142857142857143
amreli,2003,3,0.0,0.0
amreli,2003,4,0.0,0.0
amreli,2003,5,0.1,0.0032258064516129
amreli,2003,6,73.9,2.4633333333333334
amreli,2003,7,254.3,8.203225806451613
amreli,2003,8,285.6,9.21290322580645
amreli,2003,9,17.4,0.58
amreli,2003,10,1.9,0.0612903225806451
amreli,2003,11,0.0,0.0
amreli,2003,12,0.0,0.0
amreli,2004,1,0.0,0.0
amreli,2004,2,0.0,0.0
amreli,2004,3,0.0,0.0
amreli,2004,4,0.0,0.0
amreli,2004,5,21.1,0.6806451612903226
amreli,2004,6,295.40000000000003,9.846666666666668
amreli,2004,7,119.1,3.841935483870968
amreli,2004,8,427.4,13.78709677419355
amreli,2004,9,51.9,1.73
amreli,2004,10,25.6,0.8258064516129032
amreli,2004,11,0.0,0.0
amreli,2004,12,1.0,0.032258064516129
amreli,2005,1,0.0,0.0
amreli,2005,2,0.0,0.0
amreli,2005,3,0.1,0.0032258064516129
amreli,2005,4,1.9,0.0633333333333333
amreli,2005,5,0.0,0.0
amreli,2005,6,218.5,7.283333333333333
amreli,2005,7,72.5,2.338709677419355
amreli,2005,8,131.9,4.254838709677419
amreli,2005,9,165.9,5.53
amreli,2005,10,4.0,0.1290322580645161
amreli,2005,11,0.0,0.0
amreli,2005,12,0.0,0.0
amreli,2006,1,0.0,0.0
amreli,2006,2,0.0,0.0
amreli,2006,3,13.7,0.4419354838709677
amreli,2006,4,0.1,0.0033333333333333
amreli,2006,5,0.6,0.0193548387096774
amreli,2006,6,65.4,2.18
amreli,2006,7,291.1,9.390322580645162
