district,monthly_ndvi_mean,year,month
ahmadabad,4.1866665617476496e-05,2022,10
ahmadabad,3.821412107732627e-05,2022,11
ahmadabad,4.263842020778943e-05,2022,12
ahmadabad,4.3363235453320494e-05,2023,1
ahmadabad,4.037102879423893e-05,2023,2
ahmadabad,3.4387149531665283e-05,2023,3
ahmadabad,2.84540451908118e-05,2023,4
ahmadabad,2.431052054881948e-05,2023,5
ahmadabad,2.1474508873277658e-05,2023,6
ahmadabad,1.82366950106116e-05,2023,7
ahmadabad,3.9476179994319646e-05,2023,8
ahmadabad,5.060784355565365e-05,2023,9
ahmadabad,4.1959366155791264e-05,2023,10
ahmadabad,3.784427960279895e-05,2023,11
ahmadabad,4.310398412108544e-05,2023,12
ahmadabad,4.484921616193398e-05,2024,1
ahmadabad,4.086537342523884e-05,2024,2
ahmadabad,3.3160380322997265e-05,2024,3
ahmadabad,2.885039580074096e-05,2024,4
ahmadabad,2.3708406738141127e-05,2024,5
ahmadabad,2.369940202189027e-05,2024,6
ahmadabad,2.128743497623981e-05,2024,7
ahmadabad,4.4110851051908216e-05,2024,8
ahmadabad,4.827913659226008e-05,2024,9
ahmadabad,4.58389343045212e-05,2024,10
ahmadabad,3.808140126264894e-05,2024,11
ahmadabad,3.8483744860592894e-05,2024,12
amreli,3.504600068163798e-05,2005,1
amreli,3.0377428917839133e-05,2005,2
amreli,2.5223973676498737e-05,2005,3
amreli,2.3230678973964467e-05,2005,4
amreli,2.2399762831116085e-05,2005,5
amreli,1.7399196427939355e-05,2005,6
amreli,2.5597119844244435e-05,2005,7
amreli,5.102888762297598e-05,2005,8
amreli,6.20497028966819e-05,2005,9
amreli,5.498550769087882e-05,2005,10
amreli,4.3501502623531455e-05,2005,11
amreli,4.1044721235746245e-05,2005,12
amreli,3.9859519172648346e-05,2006,1
amreli,3.465813927489167e-05,2006,2
amreli,2.885752435266206e-05,2006,3
amreli,2.457337190414844e-05,2006,4
amreli,2.2027132428345106e-05,2006,5
amreli,3.179158953109492e-05,2006,6
amreli,3.5602209949437395e-05,2006,7
amreli,4.843916150176365e-05,2006,8
amreli,5.7193255847083685e-05,2006,9
amreli,4.755883294532721e-05,2006,10
amreli,4.381559702781129e-05,2006,11
amreli,4.091690801726731e-05,2006,12
amreli,3.872536986883249e-05,2007,1
amreli,3.4381994228765046e-05,2007,2
amreli,2.744307185448957e-05,2007,3
amreli,2.5035011472918773e-05,2007,4
amreli,2.2983115148271957e-05,2007,5
amreli,1.8295789892740117e-05,2007,6
amreli,3.250865729239908e-05,2007,7
amreli,5.44659955954558e-05,2007,8
amreli,6.429021009290777e-05,2007,9
amreli,5.658001377184892e-05,2007,10
amreli,4.806192325588157e-05,2007,11
amreli,4.402292047252987e-05,2007,12
amreli,4.339250645147952e-05,2008,1
amreli,3.963991576450183e-05,2008,2
amreli,3.046723996764088e-05,2008,3
amreli,2.636786595981637e-05,2008,4
amreli,2.3961814879354125e-05,2008,5
